name,url,count,source,elapsed,error
Barcode Scanner,https://www.jacob.de/barcodescanner/,598,"pagination[pages=30, last=18]",11.56,
Printer,https://www.jacob.de/enterprise-drucker/,1162,"pagination[pages=59, last=2]",9.42,
Firewalls,https://www.jacob.de/firewalls/,24,"pagination[pages=2, last=4]",7.51,
Handhelds,https://www.jacob.de/handhelds/,899,"pagination[pages=45, last=19]",10.76,
Drives & Media,https://www.jacob.de/enterprise-laufwerke-medien/,136,"pagination[pages=7, last=16]",11.2,
Patch Panel,https://www.jacob.de/patchpanel/,828,"pagination[pages=42, last=8]",18.64,
POS,https://www.jacob.de/pos/,857,"pagination[pages=43, last=17]",16.78,
Racks,https://www.jacob.de/racks/,5203,"pagination[pages=261, last=3]",20.78,
Redundant PSU,https://www.jacob.de/redundante-stromversorgung/,18,single-page-count,18.1,
Servers,https://www.jacob.de/server/,205,"pagination[pages=11, last=5]",24.98,
Service & Support,https://www.jacob.de/service-support/,41458,"nav__count[manual-override, was=41458]",27.94,
Storage Systems,https://www.jacob.de/storage-systeme/,265,"pagination[pages=14, last=5]",25.05,
Telephone Systems,https://www.jacob.de/telefon-anlagen/,259,"pagination[pages=13, last=19]",26.33,
Thin Clients,https://www.jacob.de/thin-clients/,28,"pagination[pages=2, last=8]",27.56,
UPS,https://www.jacob.de/usv-stromversorgung/,996,"pagination[pages=50, last=16]",38.31,
Workstations,https://www.jacob.de/workstations/,199,"pagination[pages=10, last=19]",53.31,
